Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE)u,Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (Tonnes CO2e),Waste managers (WTE),WEEE waste cost (£),WEEE waste weight (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (Tonnes CO2e),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,1,0,343,5,0,350,320,17,309,Yes,0.2,Yes,28847,24.14,1.75,5777,8.49,168.7,2,0,4034653,5061806,1496185,0,10592644,0,0,Not Applicable,Not Applicable,-611960,-1324437,-133864,0,-1237472,-503040,-3810773,3,122,8,0,0,0,3272218,28005,3. Mixed,Internal
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,2,1,0,0,0,0,23,0,0,26,2,4,0,Yes,0,No,Not Applicable,Not Applicable,1,237,0.82,0,0,0,172752,466913,0,0,639665,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,6,25,7,0,0,0,0,98872,3. Mixed,Hybrid
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,Yes,1,Yes,53226,28,1,8265,39,0,2,8547000,206000,3446000,2028000,0,14227000,0,0,Not Applicable,Not Applicable,-168593,-431365,-1725462,0,-2516789,-746145,-5588354,8,80,181,0,0,0,2038946,37722,3. Mixed,Hybrid
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - MULTI-SERVICE,2,0,0,0,0,0,6,2,53,11,0,74,37,20,36,Yes,1,Yes,13272,5.5,1,14590,15.59,603,3,279000,5522216,5268867,2870015,5268867,8671231,0,0,Not Applicable,Not Applicable,-147642,0,0,0,-120297,-446133,-714072,2,87,1,0,0,0,0,500566,3. Mixed,Hybrid
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,2,0,1,0,0,0,1,0,8,4,1,17,2,0,0,Yes,1,No,Not Applicable,Not Applicable,1,3963,1.1,0,0,7607000,1656000,7436000,1665000,18304000,0,60000,1,3824013,0,144931,1861318,439767,0,-1066230,0,1379786,3,61,2,0,0,0,1396923,51839,3. Mixed,Hybrid
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,2,1,17,7,1,30,3,9,0,Yes,0.5,Yes,282435,122.28,0.5,3000,4.46,0,3,0,6105122,11486032,1065653,11486032,7118175,52600,1,988000,0,0,-2438737,-784819,-8982,0,-846707,-4079245,2,65,108,0,0,0,1839606,506787,3. Mixed,Hybrid
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,21,0,0,0,0,15,5,3,44,1,2,16,Yes,0.5,Yes,20,0.7,0.12,19668,8.7,201,14,907732,7677041,2824163,1868630,0,13277566,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,23,95,15,0,1,0,610365,238354,3. Mixed,Internal
RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,11,0,0,0,0,60,13,2,86,32,13,4,Yes,0,No,Not Applicable,Not Applicable,0.5,12936,16.9,0,0,11320910,4569437,4847465,5674202,0,26412014,0,1,581900,259.77,0,0,0,-212688,-40642,-209398,-462728,65,403,86,0,15,0,0,172041,3. Mixed,Internal
RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - MEDIUM,2,0,0,0,0,0,0,0,11,4,0,17,5,6,1,Yes,0.5,Yes,84430,39.91,0.5,7199,16.32,0,7,43912477,6027943,14618189,32216,0,56472698,8118127,1,345000,86.58,0,0,-50589,0,-2061341,-574851,-2686781,1,38,52,0,0,0,805875,242496,1. Paper,Hybrid
RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,4,4,0,0,1,10,1,2,22,2,3,1,Yes,0.3,Yes,0,0,0.3,0,0,0,0,2163855,9474390,0,1259940,0,12898185,0,1,429815,0,0,0,0,0,0,0,0,1,18,5,0,0,0,0,60000,3. Mixed,Internal
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,13,0,0,0,0,18,2,0,33,2,2,0,Yes,1,Yes,38251,15.16,1,29729,30,0,0,2708000,3168524,115700,0,0,5992224,0,0,Not Applicable,Not Applicable,0,-627791,-1160322,-252754,0,0,-2040867,2,189,1,0,0,0,138398,140129,3. Mixed,Hybrid
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,COMMUNITY,0,0,0,0,0,0,0,0,53,3,0,56,13,12,13,Yes,0,Yes,0,0,0,0,0,0,0,0,591000,0,86000,0,677000,0,0,Not Applicable,Not Applicable,0,-49753,-67678,0,0,0,-117431,0,5,2,0,0,0,0,54707,3. Mixed,Hybrid
RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,0,0,0,0,0,0,7,3,25,0,0,35,5,2,2,Yes,0.5,Yes,7940,3.7,1,3293,6.08,0,1,1040000,5000,2920000,13000,0,3936000,42000,1,76000,0,-10117,-150577,-52590,-155755,-120426,0,-489465,1,0,30,0,0,0,1093,14339,3. Mixed,Hybrid
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,0,0,2,0,0,0,4,0,25,3,0,34,0,5,0,No,1,No,Not Applicable,Not Applicable,0.1,317,0.24,0,0,0,184385,341000,847944,0,1373329,0,3,830000,29.56,0,0,0,0,0,0,0,5,14,6,0,0,0,0,0,3. Mixed,Other
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,MIDLANDS COMMISSIONING REGION,COMMUNITY,0,0,0,0,0,0,4,0,25,10,0,39,13,16,2,No,0,No,Not Applicable,Not Applicable,0,0,0,0,0,0,351122,0,23290,0,374412,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3. Mixed,Hybrid
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,COMMUNITY,0,0,0,0,0,0,0,1,29,0,2,32,0,2,0,Yes,0,No,Not Applicable,Not Applicable,1,0,4.56,0,0,0,0,1555381,229159,0,1784540,0,0,Not Applicable,Not Applicable,-10909,-710016,-1781740,-527560,0,0,-3030225,3,2,3,0,0,0,0,126686,3. Mixed,Hybrid
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,COMMUNITY,0,0,0,0,0,0,0,1,10,0,0,11,0,4,0,Yes,0,No,Not Applicable,Not Applicable,0,0,0,0,0,2900000,219141,176378,0,0,3295519,0,0,Not Applicable,Not Applicable,-17250,0,0,0,0,0,-17250,0,0,0,0,0,0,0,71557,3. Mixed,Hybrid
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,COMMUNITY,0,0,0,0,3,0,7,2,33,0,2,47,9,6,0,Yes,0.4,Yes,31743,3.27,0.4,10562,27.27,0,1,7808000,4101131,807790,194900,0,12911821,0,0,Not Applicable,Not Applicable,-52530,-784080,-2886831,0,0,0,-3723441,0,14,5,0,0,0,750428,120358,3. Mixed,Hybrid
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,COMMUNITY,0,0,0,0,0,0,1,0,4,9,0,14,9,1,0,No,0.3,No,Not Applicable,Not Applicable,0.3,1480,2.15,0,0,0,304124,121649,182474,0,608247,0,1,11309,0,0,0,0,0,0,0,0,0,2,2,0,0,0,47496,21370,3. Mixed,Hybrid
RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,31,0,31,Not Applicable,Not Applicable,0,Yes,1,No,Not Applicable,Not Applicable,1,0,6.09,5,0,0,1677163,0,882848,0,1400498,1159513,0,Not Applicable,Not Applicable,Not Applicable,0,0,0,Not Applicable,Not Applicable,0,0,3,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,136,1,137,Not Applicable,Not Applicable,0,No,0.5,No,Not Applicable,Not Applicable,0.5,4519,7.28,0,0,11425607,894038,2514538,2933891,0,17768074,0,43,2316000,94.86,Not Applicable,-80742,0,0,Not Applicable,Not Applicable,-80742,0,1,1,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,110,1,111,Not Applicable,Not Applicable,0,Yes,0,No,Not Applicable,Not Applicable,0,43509,69.21,8,0,0,173010,2837811,0,0,3010821,0,0,Not Applicable,Not Applicable,Not Applicable,0,0,0,Not Applicable,Not Applicable,0,3,1,1,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,68,13,81,Not Applicable,Not Applicable,0,No,0,No,Not Applicable,Not Applicable,0,0,2.62,10,0,115000,1045000,2362000,1043000,4565000,0,0,0,Not Applicable,Not Applicable,Not Applicable,-110368,-12748,0,Not Applicable,Not Applicable,-123116,0,0,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,AMBULANCE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,137,0,137,Not Applicable,Not Applicable,1,No,0.1,Yes,0,0.86,0.15,5448,0.33,0,0,4955132,2563826,418708,0,0,7781855,155811,1,292491,3.36,Not Applicable,-115046,0,0,Not Applicable,Not Applicable,-115046,0,2,0,0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,1,9,10,11,0,0,12,10,5,58,2,11,38,No,0,Yes,10000,0,0.5,3577,1.28,0,2,0,3649380,3939829,1444022,0,9009727,23504,1,265000,21,0,0,0,0,0,0,0,7,117,35,0,0,0,0,120000,3. Mixed,Hybrid
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,3,2,0,0,0,0,0,0,4,0,1,10,0,0,0,Yes,1,No,Not Applicable,Not Applicable,0,6692,3.5,0,0,1379069,37556880,32002792,18108861,0,73847136,15200466,1,0,591,-864392,-6954510,-566088,0,-654858,-654318,-9694166,10,237,0,0,0,0,1457438,494659,3. Mixed,Hybrid
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - TEACHING,4,1,1,0,0,0,0,0,13,13,0,32,6,7,0,Yes,0.25,No,Not Applicable,Not Applicable,1,78270,57.17,0,7,15550198,23270061,20834021,214116,0,59398436,469960,0,Not Applicable,Not Applicable,-1031912,-2504395,-404486,0,-1644812,-2642278,-8227883,2,12,61,0,0,0,2502085,3445591,3. Mixed,Hybrid
RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,0,0,0,0,0,0,0,0,56,3,3,62,0,16,0,Yes,0.1,No,Not Applicable,Not Applicable,0.1,0,1.29,0,0,4622963,3548533,927149,0,0,9098645,0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,2,19,1,0,0,0,15675,124297,3. Mixed,Hybrid
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,COMMUNITY,0,1,0,0,4,0,2,4,313,6,1,331,279,28,233,Yes,1,Yes,0,0,1,700,0.64,0,1,0,4082753,2956192,27916,0,5012767,2054094,0,Not Applicable,Not Applicable,0,-1160070,-216216,0,-136266,-53920,-1566472,6,13,3,0,0,0,0,0,3. Mixed,Internal
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,COMMUNITY,0,0,3,0,0,0,3,5,272,6,0,289,225,25,225,Yes,0,No,Not Applicable,Not Applicable,0,0,0,0,0,0,3975000,440000,0,0,4415000,0,11,1300000,105.1,0,-1359248,-535788,0,0,0,-1895036,0,8,1,0,0,0,243700,25550,3. Mixed,External
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,COMMUNITY,0,0,0,0,0,0,7,5,52,17,0,81,26,26,0,Yes,1,No,Not Applicable,Not Applicable,1,6847,19,0,7,0,2384555,2367991,166230,0,4918776,0,0,Not Applicable,Not Applicable,0,-1159484,-423148,0,0,0,-1582632,2,7,3,0,0,0,0,78024,3. Mixed,Internal
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,CARE TRUST,0,0,1,1,1,0,0,0,52,2,0,57,32,12,0,Yes,1,Yes,3500,2,1,864,6,0,8,4020686,5189414,312629,43807,0,9566536,0,3,822000,0,0,0,0,0,0,0,0,12,30,0,0,2,0,98860,84997,3. Mixed,Hybrid
TAH,SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,CARE TRUST,0,0,4,2,1,0,0,0,10,5,2,24,0,0,0,Yes,0.15,Yes,0,0,1,13673,2.69,0,0,211486,3673051,130185,24292,0,4039014,0,1,0,0,0,0,0,0,0,0,0,1,214,2,0,0,0,0,0,2. Electronic,External
TAJ,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,4,1,2,5,0,0,0,0,31,8,1,52,20,9,5,No,0,No,Not Applicable,Not Applicable,1,0,2.45,0,7,0,18318071,548120,1584749,0,20450940,0,0,Not Applicable,Not Applicable,0,0,126428,0,0,0,126428,9,27,0,0,0,0,330800,128901,3. Mixed,Internal
