Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE)u,Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (Tonnes CO2e),Waste managers (WTE),WEEE waste cost (£),WEEE waste weight (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (Tonnes CO2e),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,25,9,0,36,10,18,0,Yes,0,No,Not Applicable,Not Applicable,0.4,2820,3.5,0,21,4639384,3443774,4499077,4393005,0,16735240,240000,1,1352807,0,-179474,-564171,-51787,0,-3046651,-696549,-4538632,0,132,7,0,0,0,1579701,303374,3. Mixed,Hybrid
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - TEACHING,3,1,0,0,0,0,0,0,9,5,0,18,2,2,3,No,0.5,No,Not Applicable,Not Applicable,1,6248,100.22,1288.54,27,813830,8219570,5039670,1199210,0,15272280,0,0,Not Applicable,Not Applicable,-488995,0,0,0,-2465832,-2440645,-5395472,30,206,0,0,0,0,3386234,607202,3. Mixed,Hybrid
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - MEDIUM,2,0,0,0,0,0,0,0,30,0,0,32,23,11,1,Yes,0.1,Yes,48000,0,1,1023,17.2,601.12,8,13057836,17194385,3580551,2719300,0,24408108,12143964,1,118912,8,54549,15373,-136658,-18924,-1510738,-815929,-2412327,2,70,1,0,0,0,398541,229167,3. Mixed,Internal
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,16,1,0,9,2,98,0,1,127,17,16,1,No,2,Yes,20539,9.86,2,50000,20.74,0,12,3121941,4791121,6276517,655847,0,14554426,291000,5,154606,70.6,0,-198086,-2443294,-35267,-128835,0,-2805482,2,141,4,0,0,0,0,219354,3. Mixed,Hybrid
RW4,MERSEY CARE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,10,2,1,0,1,86,7,2,109,9,19,0,Yes,0.4,Yes,2883,1.5,1,3048,5.1,0,3,43013579,4240818,6622081,1275838,0,54591337,560979,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,34,107,10,0,3,0,122705,197208,3. Mixed,Hybrid
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,6,7,4,0,1,0,106,6,3,133,45,38,22,Yes,1,Yes,230,0.14,1,4343,4.46,0,1,35887487,4084411,2446259,905752,0,43201909,122000,0,Not Applicable,Not Applicable,0,-9494,-16379,-12935,0,0,-38808,45,268,167,0,2,0,712522,0,3. Mixed,Internal
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,91,3,0,96,91,3,40,No,1,No,Not Applicable,Not Applicable,0,38168,11.53,0,9,8202000,7881000,2593000,5238000,0,22771000,1143000,0,Not Applicable,Not Applicable,-269368,23393,142532,0,-1590154,-543013,-2236610,5,167,30,0,0,0,1740463,286344,3. Mixed,Internal
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - LARGE,4,4,10,0,0,0,0,0,85,2,1,106,74,6,74,Yes,0,No,Not Applicable,Not Applicable,1,0,5.72,0,0,51354185,10278430,5019946,441027,0,67093588,0,1,470270,0,0,-88720,0,-688,-1159454,0,-1248862,2,141,20,0,0,0,3026042,605385,3. Mixed,Internal
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,3,0,3,0,0,0,0,0,0,1,0,7,0,1,0,Yes,1,No,Not Applicable,Not Applicable,1,40877,22.35,0,35,38317954,6969383,7499859,245156,0,52517352,515000,0,Not Applicable,Not Applicable,-1871073,0,0,0,-5302793,-1888951,-9062817,7,230,63,0,0,0,2600101,973098,3. Mixed,Internal
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,2,2,0,0,0,0,2,0,17,4,1,28,14,5,0,Yes,0.33,Yes,0,0,0.33,5245,4.83,0,4,8150247,5171876,314344,0,0,13427354,209113,1,117873,20.04,-113120,-308167,-1544401,0,-1968288,-614102,-4548078,1,96,1,0,0,0,2089632,2018171,3. Mixed,Internal
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,2,0,1,3,0,7,0,0,0,Yes,1,No,Not Applicable,Not Applicable,1,4292,6.28,0,2,628629,7044435,4505767,1105161,0,13283992,0,0,Not Applicable,Not Applicable,0,-846061,-1482544,-233476,-1795585,-1047049,-5404715,1,77,75,0,0,0,549473,488709,3. Mixed,Hybrid
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,1,0,0,0,0,0,0,1,7,5,0,14,0,0,0,Yes,1,Yes,161,0.02,1,15732,5.88,0,0,3027036,10912659,0,6328769,0,20172546,95918,7,1900000,300,-272881,-1781117,-449705,0,-760477,-1088370,-4352550,0,50,21,0,0,0,3321505,358547,3. Mixed,Hybrid
RWJ,STOCKPORT NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,1,1,0,0,0,0,0,1,19,0,0,22,0,19,0,Yes,0.5,No,Not Applicable,Not Applicable,0.5,3985,12.13,0,5,22059774,3973131,1312683,308236,0,27393824,260000,13,942126,0,0,-389539,33837,0,-544150,-501591,-1401443,6,25,31,0,0,0,1793283,17698,3. Mixed,Hybrid
RWK,EAST LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,13,0,0,0,0,88,4,1,106,6,33,0,Yes,0.5,Yes,66024,246.69,0.5,13375,9,0,7,0,3663797,2286623,115302,0,6065722,0,39,978404,220.54,0,328189,764604,0,0,0,1092793,5,18,8,0,0,0,0,190181,3. Mixed,Hybrid
