Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE),Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (CO2e (tonnes)),Waste managers (WTE),WEEE waste cost (£),WEEE waste volume (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (CO2e (tonnes)),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
RBK,WALSALL HEALTHCARE NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,1,18,0,0,20,1,16,1,Yes,0.10,No,Not Applicable,Not Applicable,1.00,"1,000",0.65,0.00,1,"2,310,976","11,961,684","1,705,691",0,"1,514,000","7,795,351","6,669,000",0,Not Applicable,Not Applicable,0,0,0,0,"-1,324,944",0,"-1,324,944",3,72,0,0,0,0,"1,358,128","442,836",3. Mixed,Hybrid
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,3,2,0,7,0,0,0,Yes,0.00,Yes,0,0.00,1.00,0,3.78,0.00,10,"11,093,000",0,"4,121,000",0,0,"15,197,000","17,000",0,Not Applicable,Not Applicable,"-87,445","-680,247","-3,149,203",0,"-1,087,251","-796,462","-5,800,608",1,102,18,0,1,0,"235,685","45,959",3. Mixed,Internal
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,4,0,0,0,0,0,1,0,11,1,0,17,0,2,0,Yes,2.00,Yes,"10,693",500.00,2.00,"6,970",14.00,0.00,0,"4,490,000","7,974,448","15,899,974","472,533",0,"28,695,638","141,317",0,Not Applicable,Not Applicable,0,0,0,0,"-1,993,055","-1,031,732","-3,024,787",2,125,0,0,0,0,"529,095","61,934",3. Mixed,Internal
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,0.00,No,Not Applicable,Not Applicable,0.00,"1,338",0.76,0.00,3,0,"4,043,994","442,275","2,293,626",0,"6,779,895",0,2,"447,890",1.41,0,0,0,0,0,"-285,151","-285,151",0,38,0,0,0,0,0,"47,344",3. Mixed,Internal
RBS,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,0,1,0,0,1,0,0,2,7,1,12,0,2,0,No,1.00,No,Not Applicable,Not Applicable,0.00,0,0.00,0.00,2,"8,250,065","9,738,019",0,0,0,"17,988,084",0,0,Not Applicable,Not Applicable,0,"-1,794,419",0,0,"-576,449","-495,830","-2,866,698",0,37,0,0,0,0,"438,695","95,580",3. Mixed,Internal
RBT,THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,1,17,0,0,19,6,16,0,Yes,1.00,Yes,"1,132",3.77,1.00,850,7.00,0.00,3,"23,269,000","1,171,000","32,130,000","2,154,000",0,"58,724,000",0,6,"469,000",275.00,0,"-469,506","-30,051",0,"-784,543","-533,737","-1,817,837",1,51,17,0,1,0,"946,502","209,547",3. Mixed,Hybrid
RBV,THE CHRISTIE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,1.00,Yes,"9,738",3.50,1.00,840,1.13,0.00,6,0,"13,854,087","1,542,536","89,021",0,"15,479,827","5,817",0,Not Applicable,Not Applicable,"-178,165","-1,551,479","-730,833",0,"-128,208","-241,438","-2,830,123",0,55,55,0,0,0,"221,608","80,589",3. Mixed,Internal
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - MEDIUM,2,0,0,0,0,0,1,0,10,3,0,16,7,7,0,Yes,0.50,No,Not Applicable,Not Applicable,0.50,"3,630",71.00,0.00,0,"62,152,311","17,661,622","3,327,635","12,948,748",0,"94,213,066","1,877,250",10,"2,310,000",500.00,"-115,126","-1,841,563","-2,107,528",0,"-2,217,853",0,"-6,282,070",4,64,103,0,0,0,"183,411","467,887",3. Mixed,Hybrid
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,1,0,0,5,0,18,11,1,39,10,11,4,Yes,1.00,Yes,923,0.50,0.60,0,21.48,788.40,3,"31,498,503","1,957,697","3,728,597","512,808",0,"37,668,046","29,559",3,"2,037,443",0.00,"-127,778","-950,089","-260,337","-13,068","-1,981,870","-234,318","-3,567,460",1,0,80,0,0,0,"2,383,687","127,042",3. Mixed,Hybrid
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,1,1,125,47,0,175,156,37,0,No,0.20,Yes,0,0.00,0.20,"3,998",1.64,288.64,4,"2,452,281","11,632,100","1,080,755","3,046,300",0,"18,211,436",0,1,"2,646,591",0.00,"-123,111","-202,964",-166,0,"-736,856","-121,252","-1,184,349",1,17,10,0,0,0,"257,690","192,892",3. Mixed,Internal
RCF,AIREDALE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,1,0,1,0,0,0,1,0,0,0,0,3,0,2,2,Yes,0.00,Yes,"1,500",5.99,1.00,"2,480",6.76,366.54,3,0,"21,227,916","1,221,839","29,231",0,"22,478,986",0,0,Not Applicable,Not Applicable,"-52,783","-7,700","-14,709",0,"-1,246,829","-47,277","-1,369,298",1,82,7,0,0,0,"715,884",0,3. Mixed,Internal
RCU,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,1,0,0,1,0,8,25,0,36,19,2,0,Yes,0.50,Yes,"5,000",1.50,0.50,336,2.50,0.00,2,"522,000","5,225,000","1,015,000","620,000",0,"2,937,000","4,445,000",0,Not Applicable,Not Applicable,"-215,327",0,"-435,273",0,"-20,181",-490,"-671,271",2,23,2,0,0,0,"763,727","4,221",3. Mixed,Internal
RCX,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,3,0,0,4,2,0,0,Yes,1.00,Yes,"20,000",22.00,1.00,"6,510",6.00,0.00,3,"21,336,670","5,071,178","23,696,527","6,201,717",0,"55,554,092","752,000",3,"197,573",0.00,"-255,356","-371,707","-64,638",0,"-832,074",0,"-1,523,775",3,51,3,0,0,0,"689,816","53,358",3. Mixed,Internal
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MEDIUM,2,1,0,0,0,0,1,0,14,2,0,20,12,8,0,Yes,1.50,Yes,0,0.00,1.00,"3,130",8.82,0.00,4,"13,295,393","6,837,785","559,021","226,838",0,"20,919,037",0,0,Not Applicable,Not Applicable,"-8,278","-327,777","-23,830",0,"-1,613,416","-14,830","-1,988,131",3,42,0,0,0,0,"616,771","385,470",3. Mixed,Hybrid
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,0,0,3,2,0,6,1,1,0,Yes,0.00,No,Not Applicable,Not Applicable,0.25,"6,816",15.28,0.00,4,"24,002,993","5,091,915",0,"143,669",0,"20,823,742","8,414,835",2,"1,186,592",0.00,0,0,0,0,"-1,428,771","-22,784","-1,451,555",3,71,5,0,1,0,"668,217","8,576",3. Mixed,Hybrid
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,5,0,24,5,1,37,0,15,0,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"7,641",23.82,0.00,0,"57,297,022","7,473,113","4,049,000",0,"958,000","67,861,135",0,0,Not Applicable,Not Applicable,"-1,545,640","-1,152,163","-357,790",0,"-2,908,163","-564,727","-6,528,483",0,158,27,0,0,0,"1,525,639","92,495",3. Mixed,Hybrid
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,COMMUNITY,0,0,0,6,1,0,8,2,58,7,2,84,28,28,12,Yes,0.25,Yes,"19,678",10.81,1.19,"2,261",6.95,28.00,0,0,"1,045,000","1,545,000",0,0,"2,185,633","404,367",0,Not Applicable,Not Applicable,0,"-53,449","-23,289",-10,0,0,"-76,748",0,14,7,0,0,0,"309,462","66,382",3. Mixed,Hybrid
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,3,0,0,0,0,0,2,0,8,5,0,18,5,6,0,No,0.40,Yes,"34,277",22.61,0.75,"18,078",7.04,0.00,8,"23,802,478","10,797,347","10,077,098","214,567",0,"44,331,490","560,000",0,Not Applicable,Not Applicable,0,"-442,052","-299,412",0,"-3,380,794","-1,390,749","-5,513,007",3,151,3,0,0,0,"211,197","151,216",3. Mixed,Internal
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,1,0,8,8,0,156,4,0,177,119,3,0,No,0.00,Yes,0,0.00,0.00,0,0.00,0.00,10,"3,142,796","3,570,723","1,793,980","1,814,144",0,"9,665,599","656,044",0,Not Applicable,Not Applicable,0,"-30,829","-18,153",-957,"-13,316",0,"-63,255",9,41,2,0,0,0,0,"381,388",3. Mixed,Internal
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,3,0,0,0,0,0,0,0,4,3,1,11,0,0,0,No,0.00,No,Not Applicable,Not Applicable,0.60,0,31.00,0.00,1,"6,230,443","495,857","5,327,483","545,659",0,"11,803,292","796,150",0,Not Applicable,Not Applicable,"-221,774","-2,383,730","-403,419",0,"-1,646,540","-554,755","-5,210,218",4,107,61,0,0,0,"1,470,454","291,131",3. Mixed,Hybrid
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,0,0,18,7,0,28,9,6,0,No,1.50,Yes,"59,818",29.60,0.20,0,0.00,0.00,4,"3,150,526","12,092,873","12,861,301","1,592,451",0,"29,697,151",0,21,"1,876,806",0.00,"-125,544","-114,006","-82,491",0,"-1,997,714","-1,941,707","-4,261,462",5,267,40,0,0,0,0,"1,120,134",3. Mixed,Hybrid
REN,CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0,No,0.00,No,Not Applicable,Not Applicable,0.00,"4,147",17.57,14.00,0,"280,000","1,510,000","2,011,000",0,0,"3,777,000","24,000",1,"78,000",0.00,0,0,"-554,223",0,0,"-139,727","-693,950",0,24,0,0,0,0,"28,694","45,274",3. Mixed,Hybrid
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,No,0.00,No,Not Applicable,Not Applicable,0.00,455,0.42,0.00,0,"361,376","622,021","469,347","60,771",0,"1,513,515",0,2,"164,960",0.00,"-42,988","-242,738","-13,666",0,"-119,616","-358,453","-777,461",0,14,5,0,0,0,"512,000","619,000",1. Paper,Internal
RET,WALTON CENTRE NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SPECIALIST,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,No,1.00,No,Not Applicable,Not Applicable,0.50,"1,395",0.86,0.00,3,0,"11,000","2,616,053","366,000",0,"2,993,053",0,0,Not Applicable,Not Applicable,"-62,180","-162,817","-504,547",0,0,"-33,544","-763,088",0,15,13,0,0,0,"73,203","45,325",3. Mixed,Hybrid
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",LONDON COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,13,5,0,20,0,6,7,No,1.60,Yes,"6,237",31.31,2.00,"4,882",16.33,0.00,6,"15,942,521","5,778,852","2,959,369","3,925,718",0,"28,532,460","74,000",1,"46,000",11.15,0,"-36,521",0,0,"-1,899,808","-1,005,151","-2,941,480",1,191,3,0,0,0,"1,744,946","226,800",3. Mixed,Internal
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"11,500",12.82,335.29,0,"1,441,535","4,226,929","2,958,104","259,338",0,"8,885,906",0,2,"37,190",15.03,"-162,214","-13,113","-19,646",0,"-1,063,251","-485,501","-1,743,725",2,56,12,0,0,0,"991,526","65,447",3. Mixed,Internal
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,134,1,0,136,3,11,118,Yes,1.00,Yes,"11,740",4.39,1.00,"1,726",6.14,0.00,0,"270,000","2,964,000","2,869,000","799,000",0,"6,902,000",0,0,Not Applicable,Not Applicable,0,0,"-138,949",0,"-597,937","-443,519","-1,180,405",0,69,0,0,0,0,"1,488,433","91,697",3. Mixed,Internal
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,No,0.40,Yes,"9,957",6.30,0.60,"9,191",19.00,365.58,0,"1,367,000","2,916,000","733,000",0,0,"5,016,000",0,1,"147,000",11.70,0,"-520,302","-87,009",0,"-1,192,346","-170,600","-1,970,257",0,26,15,0,0,0,"1,404,015","63,055",3. Mixed,Internal
RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,19,1,4,0,0,0,4,1,29,1,2,28,Yes,0.00,No,Not Applicable,Not Applicable,1.00,"1,422",4.72,0.00,1,"10,629","2,978,074","507,352","5,000",0,"3,501,055",0,0,Not Applicable,Not Applicable,0,0,"452,964",0,0,0,"452,964",6,48,2,0,0,0,"380,280","100,064",1. Paper,Hybrid
RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SPECIALIST,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,Yes,0.00,No,Not Applicable,Not Applicable,0.00,"12,604",10.32,0.00,0,"334,917","246,526",0,"14,430",0,"595,873",0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,0,14,0,0,0,0,0,"30,290",3. Mixed,Hybrid
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,1,0,3,5,0,11,3,1,0,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"37,522",42.00,0.00,1,"33,800,745","13,018,970","1,905,609","612,540","220,100","49,117,764",0,1,"3,750,000",0.00,"-178,280","-2,695,634","-1,329,097",0,"-2,055,824",0,"-6,258,835",4,158,16,0,0,0,"1,283,769","759,896",3. Mixed,Hybrid
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,Yes,0.00,No,Not Applicable,Not Applicable,0.00,142,5.11,0.00,4,"34,825,102","196,238","9,312,567","782,601",0,"45,058,157","58,351",2,"80,000",4.50,"-35,125","102,908",0,0,"-709,428","-44,812","-686,457",1,21,21,0,0,0,"1,147,056",0,3. Mixed,Internal
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,1,2,20,3,0,27,23,2,6,Yes,0.50,Yes,"1,250",0.62,0.50,0,11.39,0.00,11,"10,991,959","1,452,907","11,207,151","7,151,590",0,"30,803,607",0,0,Not Applicable,Not Applicable,"-135,461","-803,721","-1,450,008",0,"-1,178,658","-465,052","-4,032,900",4,71,13,0,0,0,"1,074,054",0,3. Mixed,Internal
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,0,0,38,8,0,47,33,1,23,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"15,483",17.26,0.00,3,"17,511,506","4,456,191","11,443,570","21,406,728",0,"49,382,110","5,435,885",7,"121,310",37.00,"-664,891","-3,169,808","-14,428,111","-56,016","-9,271","-1,113,369","-19,441,466",3,69,94,0,0,0,"168,994","24,400",3. Mixed,Internal
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,2,0,0,4,0,0,13,0,13,8,3,43,2,2,0,Yes,1.00,No,Not Applicable,Not Applicable,2.00,"148,669",27.97,225.60,7,"38,877,086","7,591,117","7,569,200","661,031","393,510","51,242,236","3,062,688",2,"30,000",0.00,"305,866","624,895","196,712","7,346","-2,289,614","-775,475","-1,930,270",83,110,33,0,0,0,0,"1,598,190",3. Mixed,Internal
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,4,0,25,6,0,37,7,11,0,Yes,1.50,Yes,"26,603",13.25,1.00,"10,540",29.00,0.00,5,"14,897,518","18,330,130","10,094,961","700,193",0,"43,753,408","269,394",1,"172,000",30.00,0,"-227,624","-1,484,796",0,"-605,210","-40,750","-2,358,380",3,140,48,0,0,0,"1,084,738","23,295",3. Mixed,Internal
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,0,13,0,0,3,0,81,45,1,143,75,25,2,Yes,1.00,Yes,"9,866",3.24,1.00,738,16.92,0.00,17,0,"22,474,421","5,476,613","108,529",0,"28,059,563",0,0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,20,56,36,0,0,0,"46,176","311,450",3. Mixed,Hybrid
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - TEACHING,4,1,0,0,0,0,0,0,3,2,0,10,4,5,0,No,1.00,No,Not Applicable,Not Applicable,1.00,0,11.13,3.00,20,"20,688,000","12,209,000","12,453,000","1,330,000",0,"42,780,000","3,900,000",0,Not Applicable,Not Applicable,"-95,230","-343,231",0,0,"-2,889,396","-1,336,461","-4,664,318",6,227,44,0,0,0,"792,131","185,534",3. Mixed,Internal
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - TEACHING,2,2,0,0,0,0,1,0,13,13,1,32,12,2,0,Yes,1.00,No,Not Applicable,Not Applicable,1.85,"25,500",27.80,0.00,19,0,"26,655,277",0,"651,633",0,"26,742,788","564,122",2,"638,461",177.00,"-504,464","-64,586",0,0,"-2,185,930","-1,001,574","-3,756,554",4,450,0,0,0,0,"4,042,420","168,454",3. Mixed,Hybrid
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,1,0,1,0,0,0,0,0,24,5,0,31,17,2,1,Yes,0.20,Yes,0,0.00,0.30,"11,080",12.93,0.00,0,"33,696,000","15,877,000","8,232,000","92,000","7,624,000","50,273,000",0,3,"3,108,000","1,100.00","-21,324","-10,831",0,0,"-2,445,175","-594,077","-3,071,407",7,233,25,0,0,0,"917,388","427,311",3. Mixed,Internal
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - LARGE,1,0,0,0,0,0,1,0,9,2,0,13,2,3,0,Yes,0.00,Yes,0,0.00,0.00,0,0.00,0.00,0,"9,800,482","7,998,679","6,759,519",0,0,"24,346,192","212,488",3,"2,444,972",0.00,"-307,764","-359,980","211,418","-77,012","-1,532,586","-472,772","-2,538,696",4,111,0,0,1,0,"459,850","204,006",3. Mixed,Hybrid
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,2,2,0,0,0,0,2,0,38,3,0,47,0,6,0,Yes,2.00,Yes,"6,000",0.00,2.00,"14,820",5.00,0.00,33,"9,030,990","25,820,565","9,912,780","4,070,034",0,"46,651,379","2,182,990",0,Not Applicable,Not Applicable,"-1,236,841","-2,518,006","-578,114",0,"-796,164","-70,689","-5,199,814",0,444,31,0,0,0,"2,340,549","403,197",3. Mixed,Internal
RJ2,THE LEWISHAM AND GREENWICH NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - LARGE,2,0,0,0,0,0,0,0,9,4,0,15,0,6,0,No,1.00,No,Not Applicable,Not Applicable,2.00,0,0.00,0.00,0,0,"42,666,920",0,0,0,"42,666,920",0,1,"2,461,045",0.00,"-400,934","-207,930","-3,545,024","-136,152","-1,505,753","-265,672","-6,061,465",0,245,7,0,0,0,"2,006,167","293,000",3. Mixed,Internal
RJ6,CROYDON HEALTH SERVICES NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - MEDIUM,1,0,0,0,0,0,0,0,14,1,0,16,2,6,0,Yes,0.50,No,Not Applicable,Not Applicable,0.00,0,0.00,0.00,3,"5,230,000","11,071,107","5,072,707","8,828,372",0,"29,253,372","948,814",0,Not Applicable,Not Applicable,"-170,130","-1,581,992","-1,029,589",0,"-1,132,268","-190,353","-4,104,332",2,270,4,0,0,0,"467,899","216,347",3. Mixed,Hybrid
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,1,0,0,0,0,0,1,0,29,3,1,35,0,4,17,Yes,1.00,No,Not Applicable,Not Applicable,1.00,0,0.00,4.00,0,"12,185,718","4,986,600","6,395,488","15,846,092",0,"38,910,313","503,585",0,Not Applicable,Not Applicable,"-309,024","-2,748,064","-1,421,555",0,"-1,476,451","-145,251","-6,100,345",3,164,11,0,0,0,"2,041,095","1,020,703",3. Mixed,Other
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,1,2,0,0,9,3,56,13,0,84,34,22,15,No,1.00,No,Not Applicable,Not Applicable,0.80,"1,167",2.16,0.00,1,"14,950,000","6,576,000","317,000","1,392,000",0,"23,197,000","38,000",0,Not Applicable,Not Applicable,0,0,0,0,0,0,0,10,47,18,0,1,0,"37,932","165,174",3. Mixed,Internal
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,1,0,74,0,0,77,69,19,5,Yes,2.00,No,Not Applicable,Not Applicable,1.00,"13,913",23.39,8.65,0,"17,076,227","8,626,246","1,743,507",0,0,"20,358,980","7,087,000",1,"58,000",29.00,"-354,691","-693,461","-786,677",0,"-1,208,048","-467,107","-3,509,984",1,58,0,0,0,0,"961,188","130,902",3. Mixed,Hybrid
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,MIDLANDS COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,0,0,5,0,7,0,0,0,Yes,1.00,No,Not Applicable,Not Applicable,3.00,"7,426",7.58,0.00,5,"34,249,716","9,434,696","5,293,492","541,803",0,"46,347,451","3,172,256",5,"76,768",35.00,"-128,990","-282,183","-40,673",0,"-2,451,337","-957,843","-3,861,026",6,113,68,0,0,0,"1,008,677","343,478",3. Mixed,Hybrid
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - MEDIUM,3,0,3,0,0,0,0,0,45,2,0,53,45,7,31,Yes,1.00,Yes,"95,900",31.06,0.50,0,5.72,0.00,22,"8,520,258","16,459,207","6,037,152","624,928",0,"31,641,545",0,1,"936,000",0.00,"-98,317","-210,304",0,0,"-1,535,197","-477,469","-2,321,287",2,329,9,0,0,0,"2,582,469","232,070",3. Mixed,Internal
RJN,EAST CHESHIRE NHS TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,1,0,23,0,0,25,0,6,4,Yes,0.00,No,Not Applicable,Not Applicable,0.00,"3,000",18.00,0.00,0,"2,937,000","9,914,000","186,000",0,0,"9,038,000","3,999,000",0,Not Applicable,Not Applicable,"-116,101","295,951",0,0,"-570,635","-281,909","-672,694",0,31,20,0,0,0,"732,917","23,177",3. Mixed,Hybrid
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - SMALL,1,0,0,0,0,0,1,0,1,2,0,5,1,2,0,Yes,1.00,Yes,0,0.00,1.00,"4,309",5.11,0.00,0,"338,678","2,556,478","1,371,809",0,0,"4,086,965","180,000",1,"9,450",2.20,"-190,083","-586,337","-3,906",0,"-1,040,522","-189,491","-2,010,339",3,15,28,0,0,0,"169,753","77,241",3. Mixed,Internal
